"","married-slope_2022","married-slope_2023","married-acc_2022","married-acc_2023","married-steady_slope","married-val_2022","unmarried-slope_2022","unmarried-slope_2023","unmarried-acc_2022","unmarried-acc_2023","unmarried-steady_slope","unmarried-val_2022"
"Dodge County, Minnesota",167.2370071105397,191.99912734325335,24.762120232708472,24.762120232708472,0.0,14847.0,41.62142857142856,41.62142857142856,0.0,0.0,1.0,2729.0
"Dodge County, Nebraska","","","","","",22860.0,52.43214285714285,52.43214285714285,0.0,0.0,1.0,6581.0
"Dodge County, Wisconsin",-280.1428571428571,-280.1428571428571,0.0,0.0,1.0,54142.0,323.2535714285714,323.2535714285714,0.0,0.0,1.0,16201.0
"Dolores County, Colorado",127.98463154493948,148.04814156432985,20.063510019392176,20.063510019392176,0.0,1474.0,-14.062378797672864,-18.08468002585687,-4.022301228183674,-4.022301228183674,0.0,402.0
"Doniphan County, Kansas",-66.63689398836868,-72.28411441500066,-5.647220426632418,-5.647220426632418,0.0,4607.0,-125.21205221675336,-173.03330122493207,-44.53065071701167,-51.11184729850538,0.0,993.0
"Donley County, Texas",-32.07142857142857,-32.07142857142857,0.0,0.0,1.0,1861.0,-6.042937944409459,-8.349499030381594,-2.306561085972738,-2.306561085972738,0.0,563.0
"Dooly County, Georgia",-653.7755332902889,-750.291693600564,-96.51616031028043,-96.51616031028043,0.0,4551.0,-120.2189722042749,-136.999515190706,-16.78054298642649,-16.78054298642649,0.0,1477.0
"Door County, Wisconsin","","","","","",19505.0,648.4875503480434,923.2138305008411,255.34480703511508,294.10775324002316,0.0,6063.0
"Dorado Municipio, Puerto Rico",-212.36785714285713,-212.36785714285713,0.0,0.0,1.0,18866.0,90.90357142857142,90.90357142857142,0.0,0.0,1.0,4431.0
"Dorchester County, Maryland",-144.88214285714287,-144.88214285714287,0.0,0.0,1.0,16414.0,61.49999999999999,61.49999999999999,0.0,0.0,1.0,5710.0
"Dorchester County, South Carolina",1653.3321428571428,1653.3321428571428,0.0,0.0,1.0,100432.0,677.7714285714284,677.7714285714284,0.0,0.0,1.0,22019.0
"Dougherty County, Georgia",-801.8249999999999,-801.8249999999999,0.0,0.0,1.0,29253.0,130.3571428571428,130.3571428571428,0.0,0.0,1.0,16711.0
"Douglas County, Colorado",4896.775000000001,4896.775000000001,0.0,0.0,1.0,275476.0,1145.5785714285716,1145.5785714285716,0.0,0.0,1.0,41142.0
"Douglas County, Georgia",422.0964285714286,422.0964285714286,0.0,0.0,1.0,83056.0,352.5178571428571,352.5178571428571,0.0,0.0,1.0,17720.0
"Douglas County, Illinois",128.50290885585127,154.6819650937323,26.17905623787956,26.17905623787956,0.0,13855.0,-153.3676772788167,-219.6169500388205,-62.12314154192063,-70.37540398534475,0.0,2890.0
"Douglas County, Kansas",667.4857142857143,667.4857142857143,0.0,0.0,1.0,61026.0,224.31785714285715,224.31785714285715,0.0,0.0,1.0,34584.0
"Douglas County, Minnesota",123.75714285714282,123.75714285714282,0.0,0.0,1.0,25752.0,143.49951519069873,161.30300581771735,17.80349062702006,17.80349062702006,0.0,7054.0
