"","married.slope_2022","married.acc_2022","married.steady_slope","married.val_2022","unmarried.slope_2022","unmarried.acc_2022","unmarried.steady_slope","unmarried.val_2022","NAME","no_curve_married","no_curve_unmarried","cluster"
"853",-0.236000735358981,-0.0815409730419968,-1.2290380025023,-0.244542955627771,-0.284100896312665,-0.069567812562571,0.86077208868464,-0.279931136939013,"Duchesne County, Utah",-1,-1,1
"854",0.000420497559899029,0.0564852901400915,-1.2290380025023,-0.258118588961023,-0.233597934255561,-0.069567812562571,0.86077208868464,-0.247213601400879,"Dukes County, Massachusetts",-1,-1,1
"855",-0.142647721297065,0.007678976113996,0.81334502673241,-0.315513764608755,-0.328280882414182,-0.069567812562571,0.86077208868464,-0.303927520031603,"Dundy County, Nebraska",-1,-1,3
"856",-0.234350189755535,0.007678976113996,0.81334502673241,-0.247640930084417,0,0,0,-0.223252455287867,"Dunklin County, Missouri",-1,1,3
"857",-0.177348999674831,-0.0249619793916176,-1.2290380025023,-0.308907240767475,-0.320775007861251,-0.069567812562571,0.86077208868464,-0.29776104860546,"Dunn County, North Dakota",-1,-1,1
"858",0,0,0,-0.186134673014872,-0.210025062927197,-0.069567812562571,0.86077208868464,-0.135917601403897,"Dunn County, Wisconsin",1,-1,2
"859",-0.590315291219139,-0.263280289667376,-1.2290380025023,-0.164390198257212,-0.622541704844062,-0.498367851652707,-1.16129689266478,-0.177743896162934,"Duplin County, North Carolina",-1,-1,1
"860",0.861389189292748,0.007678976113996,0.81334502673241,0.520965999395137,1.64133038278193,-0.069567812562571,0.86077208868464,1.01268460340902,"Durham County, North Carolina",-1,-1,3
"861",-0.476802810611454,0.007678976113996,0.81334502673241,0.618224268051271,0.42767216687616,-0.069567812562571,0.86077208868464,0.559343242648799,"Dutchess County, New York",-1,-1,3
"862",1.15097874680481,0.007678976113996,0.81334502673241,2.3915080463203,3.77309662152545,-0.069567812562571,0.86077208868464,3.14386998375331,"Duval County, Florida",-1,-1,4
